FN	STARCH	GLUS	FRUS	GALS	SUCS	MALS	LACS	TRES	CHOAVL	SORTL	MANTL	NoticeSUG			
02067	21.0	0.8	0.7	-	0.4	0	(0)	(0)	23.0	(0)	-	別名： ばれいしょ（馬鈴薯）<br>表層を除いたもの<br>ソルビトールは豪州成分表から推計			
02020	(24.6)	(0.1)	(0)	(0)	(0.2)	(0)	(0)	-	(25.0)	(0)	-	別名： ばれいしょ（馬鈴薯）<br>米国成分表から推計。ソルビトールは豪州成分表から推計			
02021	63.9	1.0	0.9	-	1.2	0	(0)	(0)	67.1	(0)	-	別名： ばれいしょ（馬鈴薯）<br>ソルビトールは豪州成分表から推計			
02054	-	0.1	0.1	-	0.3	-	-	-	0.5	-	-	廃棄部位： 表層及び両端			
02022	20.2	0.4	0.4	-	0.5	0	(0)	(0)	21.5	-	-	別名： やまいも、手いも<br>廃棄部位： 表層			
02023	11.8	0.4	0.5	-	0.2	Tr	(0)	(0)	12.9	-	-	別名： やまいも<br>廃棄部位： 表層、ひげ根及び切り口			
02024	11.0	0.3	0.4	-	0.2	Tr	(0)	(0)	11.8	-	-	別名： やまいも			
02025	23.4	0.3	0.3	-	0.6	0	(0)	(0)	24.5	-	-	別名： やまいも<br>伊勢いも、丹波いもを含む<br>廃棄部位： 表層及びひげ根			
02026	22.7	0.2	0.2	-	0.4	0	(0)	(0)	23.4	-	-	別名： やまいも<br>廃棄部位： 表層及びひげ根			
02027	20.6	0.1	0.2	-	0.7	0	(0)	(0)	21.6	-	-	別名： やまいも、だいしょ<br>廃棄部位： 表層			
02070	80.2	0	0	0	0	0	-	-	80.2	-	-				
02028	(85.3)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(85.3)	-	-	別名： タピオカ<br>炭水化物と食物繊維総量の差が全てでん粉であると仮定して推計			
02029	(85.6)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(85.6)	-	-	別名： くず粉<br>炭水化物と食物繊維総量の差が全てでん粉であると仮定して推計			
02030	(89.3)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(89.3)	-	-	炭水化物と食物繊維総量の差が全てでん粉であると仮定して推計			
02031	(86.0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(86.0)	-	-	炭水化物と食物繊維総量の差が全てでん粉であると仮定して推計			
02032	(86.1)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(86.1)	-	-	炭水化物と食物繊維総量の差が全てでん粉であると仮定して推計			
02033	(82.0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(82.0)	-	-	別名： かんしょ（甘藷）でん粉<br>炭水化物と食物繊維総量の差が全てでん粉であると仮定して推計			
02034	(81.6)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(81.6)	-	-	別名： ばれいしょ（馬鈴薯）でん粉、かたくり粉<br>炭水化物と食物繊維総量の差が全てでん粉であると仮定して推計			
02035	(86.3)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(86.3)	-	-	別名： コーンスターチ<br>炭水化物と食物繊維総量の差が全てでん粉であると仮定して推計			
02036	81.5	0	0	-	0	0	(0)	(0)	81.5	-	-				
02037	29.4	0	0	-	0	0	(0)	(0)	29.4	-	-				
02056	(6.5)	(0.5)	(0)	(0)	(Tr)	(0.1)	(0)	(0)	(7.2)	-	-	原材料配合割合から推計			
02039	80.4	0	0	-	0	0	(0)	(0)	80.4	-	-	主原料： 緑豆でん粉			
02061	18.0	0	0	-	0	0	(0)	(0)	18.0	-	-				
02040	78.2	0	0	-	0	0	(0)	(0)	78.2	-	-	主原料： じゃがいもでん粉、さつまいもでん粉			
02062	17.9	0	0	-	0	0	(0)	(0)	17.9	-	-				
03001	(0)	0.6	1.0	-	87.3	Tr	0	(0)	88.9	-	-	別名： 黒糖			
03030	-	0.1	0.1	-	85.1	-	-	-	85.4	-	-	ラフィノース： 4.7 g<br>1-ケストース： 0.6 g			
03002	(0)	(0.8)	(0.8)	-	(98.0)	(0)	(0)	(0)	(99.6)	-	-	03004三温糖から推計			
03003	(0)	0.7	0.7	-	97.9	0	0	(0)	99.3	-	-	別名： ソフトシュガー<br>精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03004	(0)	0.8	0.8	-	97.4	0	(0)	(0)	99.0	-	-	別名： ソフトシュガー<br>精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03005	(0)	(Tr)	(Tr)	-	(99.9)	(0)	(0)	(0)	(99.9)	-	-	別名： ハードシュガー<br>精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03006	(0)	(0)	(0)	(0)	(99.9)	(0)	(0)	(0)	(99.9)	-	-	別名： 上ざら糖<br>精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03007	(0)	(Tr)	(Tr)	(0)	(99.8)	(0)	(0)	(0)	(99.9)	-	-	別名： 黄ざら糖<br>精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03008	(0)	(Tr)	(Tr)	(0)	(99.9)	(0)	(0)	(0)	(99.9)	-	-	精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03009	(0)	(Tr)	(Tr)	(0)	(99.9)	(0)	(0)	(0)	(99.9)	-	-	別名： 氷糖<br>精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03010	(0)	Tr	Tr	-	99.9	0	(0)	(0)	99.9	-	-				
03011	(0)	(0)	(0)	(0)	(99.7)	(0)	(0)	(0)	(99.7)	-	-	別名： 粉砂糖<br>か（顆）粒糖を含む<br>炭水化物が全てしょ糖であると仮定して推計			
03012	(0)	(Tr)	(Tr)	(0)	(67.8)	(0)	(0)	(0)	(67.9)	-	-	精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03013	(0)	(19.9)	(18.6)	(0)	(38.1)	(0)	(0)	(0)	(76.6)	-	-	精糖工業会提供資料からしょ糖及び還元糖（ぶどう糖・果糖）の成分値を推計			
03031	(0)	0	0	-	0	0	-	-	(0)	Tr	-	別名： マルチトール<br>マルチトール： 98.9 g			
03032	6.2†	0	0	-	0	0	-	-	18.5†	16.4	-	80%エタノール可溶性のマルトデキストリン： 12.3 g†<br>マルチトール： 19.6 g<br>マルトトリイトール： 8.2 g<br>†は規定法による測定値			
03015	19.8	3.0	0.1	-	-	9.4	-	-	97.0	-	-	80 %エタノールに可溶性のマルトデキストリン： 64.7 g			
03024	1.6	2.5	0.1	-	0	38.5	(0)	(0)	85.0	-	-	80 %エタノールに可溶性のマルトデキストリン： 42.3 g			
03025	1.1	18.2	0.3	-	0	12.9	(0)	(0)	85.0	-	-	80 %エタノールに可溶性のマルトデキストリン： 52.4 g			
03017	(0)	(85.5)	(0)	(0)	(0)	(2.7)	(0)	(0)	(91.0)	-	-	日本農林規格の測定方法の特性を考慮して、炭水化物の94 %がぶどう糖、6 %が麦芽糖として推計			
03018	(0)	(91.3)	(0)	(0)	(0)	(0)	(0)	(0)	(91.3)	-	-	炭水化物が全てぶどう糖であると仮定して推計			
03019	(0)	(99.7)	(0)	(0)	(0)	(0)	(0)	(0)	(99.7)	-	-	炭水化物が全てぶどう糖であると仮定して推計			
03020	(0)	(0)	(99.9)	(0)	(0)	(0)	(0)	(0)	(99.9)	-	-	炭水化物が全て果糖であると仮定して推計			
03026	(0)	40.8	26.7	-	0	0.9	(0)	(0)	75.0	-	-	果糖含有率 50 %未満のもの<br>マルトトリオース等のオリゴ糖類： 6.6 g			
03027	(0)	28.3	39.4	-	0	0.7	(0)	(0)	75.0	-	-	果糖含有率 50 %以上 90 %未満のもの<br>マルトトリオース等のオリゴ糖類： 6.5 g			
03028	(0)	0.9	69.5	-	0	0	(0)	(0)	75.0	-	-	果糖含有率 90 %以上のもの<br>マルトトリオース等のオリゴ糖類： 4.6 g			
03029	(0)	(0.3)	(0.5)	-	(48.8)	(Tr)	(0)	(0)	(49.7)	-	-	03001黒砂糖から推計			
03022	0	33.2	39.7	-	0.3	1.5	(0)	(0)	75.2	-	-	イソマルトース： 0.5 g			
03033	-	30.3	36.7	-	0.1	0.9	-	-	69.2	-	-	イソマルトース： 1.1 g			
04001	41.7	0	0	Tr	0.6	0	0	(0)	42.3	-	-				
04002	16.4	0	0	-	0.1	0	(0)	(0)	16.5	-	-				
04003	10.8	0.2	0.2	-	33.7	0	-	-	44.9	-	-	液汁を含む			
04004	23.6	0	0	-	0	0	(0)	(0)	23.6	-	-				
04005	47.4	0	0	-	0.3	0	(0)	(0)	47.7	-	-				
04101	(13.6)	(0.4)	(0.3)	(0)	(39.3)	(1.5)	(0)	(0)	(56.8)	-	-	加糖あん<br>配合割合： こし生あん100、上白糖70、水あめ7<br>原材料配合割合から推計			
04102	(12.4)	(0.4)	(0.3)	(0)	(43.3)	(1.4)	(0)	(0)	(59.3)	-	-	加糖あん<br>配合割合： こし生あん100、上白糖85、水あめ7<br>原材料配合割合から推計			
04103	(12.3)	(0.5)	(0.4)	(0)	(50.8)	(1.4)	(0)	(0)	(66.9)	-	-	加糖あん<br>配合割合： こし生あん100、上白糖100、水あめ7<br>原材料配合割合から推計			
04111	17.4	0	0	-	0.1	0	-	-	17.5	-	-	イソマルトース： 0 g			
04006	11.7	0.1	0.1	-	39.6	0	(0)	(0)	51.6	-	-	別名：小倉あん<br>加糖あん			
04007	35.7	0	0	-	2.4	0	(0)	(0)	38.1	-	-	金時類、白金時類、手亡類、鶉類、大福、虎豆を含む			
04008	14.9	0	0	-	0.8	0	(0)	(0)	15.8	-	-	金時類、白金時類、手亡類、鶉類、大福、虎豆を含む			
04009	11.6	0.4	0.3	-	28.8	2.1	-	-	43.2	-	-	試料（原材料）： 金時類 <br>煮豆			
04012	37.0	0	0	-	1.9	0	(0)	(0)	38.9	-	-				
04013	16.2	0	0	-	0.9	0	(0)	(0)	17.2	-	-				
04074	(37.0)	(0)	(0)	-	(1.9)	(0)	(0)	(0)	(38.9)	-	-	04012青えんどう乾から推計			
04075	(16.2)	(0)	(0)	-	(0.9)	(0)	(0)	(0)	(17.2)	-	-	04013青えんどうゆでから推計			
04112	12.1	Tr	Tr	-	32.8	0	-	-	45.0	1.0	2.9	加糖あん<br>イソマルトース： 0 g			
04017	35.2	Tr	Tr	-	1.8	0	(0)	(0)	37.1	-	-				
04018	16.4	Tr	Tr	-	0.6	Tr	(0)	(0)	17.0	-	-				
04019	32.4	Tr	Tr	-	1.9	0	(0)	(0)	34.3	-	-				
04104	0.6	0.2	0.2	0.1	7.0	Tr	-	-	8.1	-	-				
04105	0.1	Tr	0	0	1.3	0.1	-	-	1.5	-	-				
04023	0.6	0	0	0.1	5.9	Tr	0	(0)	6.7	-	-				
04024	0.2	Tr	Tr	-	1.3	Tr	(0)	(0)	1.5	-	-				
04025	0.6	Tr	Tr	-	6.0	0	(0)	(0)	6.6	-	-				
04026	0.8	Tr	0	-	6.5	0	(0)	(0)	7.3	-	-				
04027	0.4	Tr	Tr	-	4.6	0	(0)	(0)	5.0	-	-				
04077	0.6	Tr	Tr	0.1	6.5	0.1	-	-	7.3	-	-				
04106	0.2	0	0	0	1.4	0.1	-	-	1.6	-	-				
04080	0.7	0	0	0	8.3	0	(0)	(0)	9.0	-	-				
04078	0.5	0	0	0	6.7	0	(0)	(0)	7.2	-	-				
04079	0.6	0	0	0	7.7	0	(0)	(0)	8.3	-	-				
04028	0.2	0	0	-	0.6	0	-	-	0.8	-	-	液汁を除いたもの			
04082	0.8	0	Tr	0	7.4	0	(0)	(0)	8.2	-	-				
04096	0.5	(0)	0	-	5.9	(0)	(0)	(0)	6.5	-	-	別名：青大豆きな粉、うぐいす色きな粉あるいはうぐいすきな粉			
04029	0.7	0	0	-	6.1	0	(0)	(0)	6.8	-	-				
04030	0.7	0	0	-	5.8	0	(0)	(0)	6.5	-	-				
04031	0.3	0.2	0.2	-	29.4	0	-	-	30.0	-	-	煮豆			
04032	0.2	0	0	-	0.6	0	(0)	(0)	0.8	-	-	凝固剤の種類は問わないもの			
04097	0.2	0	0	-	0.6	0	(0)	(0)	0.8	-	-				
04098	0.2	0	0	-	0.6	0	(0)	(0)	0.8	-	-				
04033	0.2	0	0	-	0.7	Tr	(0)	(0)	0.9	-	-	凝固剤の種類は問わないもの			
04099	0.2	0	0	-	0.7	Tr	(0)	(0)	0.9	-	-				
04100	0.2	0	0	-	0.7	Tr	(0)	(0)	0.9	-	-				
04034	0.1	0	0	-	0.2	0	(0)	(0)	0.3	-	-				
04035	0.1	0	0	-	0.7	0	(0)	(0)	0.8	-	-				
04036	(0.2)	(0)	(0)	-	(0.7)	(0)	(0)	(0)	(1.0)	-	-	別名： 島豆腐<br>04032木綿豆腐から推計			
04037	(0.1)	(0)	(0)	-	(0.4)	(0)	(0)	(0)	(0.5)	-	-	04032木綿豆腐から推計			
04038	0.1	0	0	-	0.5	0	(0)	(0)	0.6	-	-				
04039	0.3	0	0	-	0.8	0	(0)	(0)	1.1	-	-	別名： 厚揚げ			
04113	0.1	0	0	-	1.0	Tr	-	-	1.2	-	-	別名： 絹厚揚げ			
04040	0.2	0	0	-	0.3	0	(0)	(0)	0.5	-	-				
04084	0.1	0	0	-	0.2	0	(0)	(0)	0.3	-	-				
04086	0.1	0	0	-	0	0	(0)	(0)	0.1	-	-				
04085	0.2	0	0	-	0.2	0	(0)	(0)	0.4	-	-				
04095	0.1	3.1	3.0	0	10.2	0.7	0	-	17.2	-	-				
04041	0.9	0	0.1	-	1.0	0	-	-	2.0	-	-				
04042	0.2	0	0	-	0	0	(0)	(0)	0.2	-	-	別名： 高野豆腐<br>試料： 炭酸水素ナトリウム処理製品			
04087	0.1	0	0	-	0	0	(0)	(0)	0.1	-	-	別名： 高野豆腐<br>湯戻し後、煮たもの			
04046	0.3	0	0.1	-	0	0	(0)	(0)	0.3	-	-				
04047	0.2	0	0	-	0	0	(0)	(0)	0.2	-	-				
04114	2.4	8.9	0.3	-	0.2	0.8	-	-	12.6	-	-				
04115	1.2	0.2	0.5	-	0.3	Tr	-	-	2.2	-	-				
04051	0.1	0	0	-	0.4	0	(0)	(0)	0.5	-	-				
04089	(0.4)	(0)	(0)	-	(1.6)	(0)	(0)	(0)	(2.1)	-	-	04051おから生から推計			
04052	0.1	0	Tr	-	0.8	0	(0)	(0)	0.9	-	-				
04053	0.1	0.1	0	-	1.3	0.3	-	-	1.8	-	-				
04054	0.2	0.3	0.2	-	3.1	0.3	-	-	4.1	-	-				
04057	0.7	0	Tr	-	0.2	Tr	(0)	(0)	1.0	-	-				
04090	(0.7)	(0)	(Tr)	-	(0.2)	(Tr)	(0)	(0)	(1.0)	-	-	04057大豆たんぱく塩分無調整タイプから推計			
04059	0.2	0.1	0.1	-	0.7	0	(0)	(0)	1.0	-	-				
04060	0.3	0	0	-	2.2	Tr	(0)	(0)	2.6	-	-				
04091	0.1	0	0	-	0.2	0	(0)	(0)	0.4	-	-				
04064	35.2	0	Tr	-	0.8	Tr	(0)	(0)	36.1	-	-	別名： たけあずき			
04092	(15.8)	(0)	(0)	-	(0.4)	(0)	(0)	(0)	(16.2)	-	-	04064つるあずき乾から推計			
04065	35.4	0	Tr	-	2.3	0	(0)	(0)	37.7	-	-	別名： チックピー、ガルバンゾー			
04066	17.4	0	0	-	0.8	0	(0)	(0)	18.2	-	-	別名： チックピー、ガルバンゾー			
04068	28.6	0	0	-	4.6	0	(0)	(0)	33.1	-	-	別名： はなまめ			
04069	10.6	0	0	-	1.5	0	(0)	(0)	12.1	-	-	別名： はなまめ			
04070	32.6	Tr	0	-	1.2	0	(0)	(0)	33.8	-	-	別名： ライマビーン、バタービーン			
04093	(14.4)	(0)	(0)	(0)	(0.5)	(0)	(0)	(0)	(14.9)	-	-	別名： ライマビーン、バタービーン<br>04070らいまめ乾から推計			
04071	39.9	0	0	Tr	1.4	0	0	(0)	41.4	-	-	別名： やえなり			
04072	15.9	0	Tr	-	0.2	0	(0)	(0)	16.1	-	-	別名： やえなり			
04073	40.0	Tr	Tr	-	1.0	Tr	(0)	(0)	41.1	-	-	別名： ひらまめ			
04094	(20.6)	(Tr)	(0)	-	(0.6)	(0)	(0)	(0)	(21.2)	-	-	別名： ひらまめ<br>04073レンズまめ乾から推計			
05001	0.1	Tr	Tr	-	5.1	0	0	(0)	5.2	-	-				
05002	0.2	0	0	-	4.5	0	(0)	-	4.6	-	-	乳糖は米国成分表から推計			
05040	(0.7)	(Tr)	(Tr)	(0)	(4.8)	(0.1)	(0)	(0)	(5.6)	-	-	米国成分表から推計			
05003	0.1	Tr	Tr	-	2.3	0	(0)	(0)	2.5	-	-				
05041	0.2	0	0	-	0.9	0	(0)	-	1.2	-	-				
05004	0.3	0.2	0.1	-	1.7	0	(0)	(0)	2.4	-	-	別名： あぶらえ			
05005	(11.9)	(0)	(0)	(0)	(5.3)	(0)	(0)	(0)	(17.2)	-	-	英国成分表から推計。ガラクトースは米国成分表から推計			
05006	(0.7)	(0.1)	(0.1)	(0)	(1.1)	(0)	(0)	(0)	(2.0)	-	-	廃棄部位： 種皮<br>米国成分表から推計			
05008	29.0	0.1	Tr	-	1.2	Tr	(0)	(0)	30.4	-	-	廃棄部位： 殻及び薄皮			
05009	29.3	Tr	Tr	-	1.2	Tr	(0)	(0)	30.6	-	-	薄皮を除いたもの			
05010	26.2	Tr	Tr	-	4.3	Tr	0	(0)	30.6	-	-	廃棄部位： 殻（鬼皮）及び渋皮（包丁むき）			
05011	25.8	Tr	Tr	-	4.2	0	(0)	(0)	30.0	-	-	廃棄部位： 殻（鬼皮）及び渋皮			
05013	(34.4)	(Tr)	(Tr)	-	(5.7)	(Tr)	(0)	(0)	(40.2)	-	-	別名： あまぐり<br>廃棄部位： 殻（鬼皮）及び渋皮<br>05011日本ぐりゆでから推計			
05014	0.1	0	0	-	2.5	0	(0)	(0)	2.6	-	-				
05015	0	0	0	-	3.2	0	(0)	(0)	3.2	-	-	別名： ポピーシード			
05016	(0)	(Tr)	(0.8)	(0)	(5.3)	(0)	(0)	(0)	(2.7)	-	-	英国成分表から推計			
05017	0.2	0	0	-	0.7	0	0	(0)	0.9	-	-	試料： 洗いごま			
05018	0.2	0	0	-	0.6	0	(0)	(0)	0.7	-	-				
05019	0	0	0	-	0.5	Tr	(0)	(0)	0.5	-	-				
05042	(0.2)	(0)	(0)	-	(0.6)	(0)	(0)	(0)	(0.8)	-	-	05018ごまいりから推計			
05021	0.2	0	0	-	2.0	0	(0)	-	2.2	-	-	廃棄部位： 種皮			
05046	0.2	0	0	-	0.7	0	(0)	(0)	0.9	-	-				
05023	(11.5)	(Tr)	(Tr)	-	(0.5)	(0)	(0)	(0)	(12.0)	-	-	廃棄部位： 殻及び薄皮<br>05024はす成熟乾から推計			
05024	45.4	0.1	0.1	-	1.8	0	(0)	(0)	47.4	-	-	殻、薄皮及び幼芽を除いたもの			
05043	(17.4)	(Tr)	(Tr)	-	(0.7)	(0)	(0)	(0)	(18.1)	-	-	幼芽を除いたもの<br>05024はす成熟乾から推計			
05025	12.8	0.1	0.2	-	1.3	0	(0)	(0)	14.3	-	-	廃棄部位： 果皮			
05047	26.6	0.2	0.2	0	0.8	0	-	-	27.8	-	-	廃棄部位： 皮			
05048	24.6	0.2	0.3	Tr	0.6	-	-	-	25.7	-	-	廃棄部位： 皮			
05026	(2.3)	(Tr)	(Tr)	(0)	(5.4)	(0)	(0)	(0)	(7.7)	-	-	廃棄部位： 殻<br>英国成分表から推計			
05027	0.1	0	0	(0)	2.1	0	0	(0)	2.3	-	-				
05028	(0.6)	(0)	(0)	(0)	(2.3)	(0)	(0)	(0)	(2.9)	-	-	英国成分表から推計。ガラクトースは米国成分表から推計			
05029	(1.0)	(0.1)	(0.1)	(0)	(3.5)	(0)	(0)	(0)	(4.6)	-	-	別名： ヘイゼルナッツ、西洋はしばみ、フィルバート<br>薄皮を除いたもの<br>米国成分表から推計			
05030	(1.4)	(0.3)	(0.3)	(0)	(3.6)	(0)	(0)	(0)	(5.6)	-	-	英国成分表から推計			
05031	(0.7)	(0.1)	(0.1)	(0)	(3.6)	(0)	(0)	(0)	(4.5)	-	-	英国成分表から推計			
05032	(0.1)	(0.1)	(0.1)	(0)	(3.5)	(0)	(0)	(0)	(3.8)	-	-	英国成分表から推計。ガラクトースは米国成分表から推計			
05033	1.6	0	0	-	3.5	0	(0)	(0)	5.1	-	-				
05034	4.3	0	0	-	5.7	0	(0)	(0)	10.0	-	-	別名： なんきんまめ、ピーナッツ			
05035	4.5	0	0	-	5.5	0	(0)	(0)	10.1	-	-	別名： なんきんまめ、ピーナッツ			
05044	(4.3)	(0)	(0)	-	(5.7)	(0)	(0)	(0)	(10.0)	-	-	別名： なんきんまめ、ピーナッツ<br>05034 大粒種乾から推計			
05045	(4.5)	(0)	(0)	-	(5.5)	(0)	(0)	(0)	(10.0)	-	-	別名： なんきんまめ、ピーナッツ<br>05035 大粒種いりから推計			
05036	3.9	0	0	-	4.4	0	-	-	8.3	-	-				
05037	3.9	0	Tr	-	14.7	0	-	-	18.6	-	-				
06001	(0)	(0.2)	(Tr)	(0)	(0.7)	(0)	(0)	(0)	(0.9)	-	-	別名： ちょうせんあざみ<br>廃棄部位： 花床の基部及び総包の一部<br>米国成分表から推計			
06002	(0)	(0.2)	(Tr)	(0)	(0.6)	(0)	(0)	(0)	(0.9)	-	-	別名： ちょうせんあざみ<br>廃棄部位： 花床の基部及び総包の一部<br>米国成分表から推計			
06402	Tr	Tr	Tr	-	0	0	-	-	0.1	-	-				
06007	0	0.8	1.1	-	0.2	0	(0)	-	2.1	-	-	試料： グリーンアスパラガス<br>廃棄部位： 株元			
06008	(0)	(0.8)	(1.2)	-	(0.2)	(0)	(0)	-	(2.3)	-	-	試料： グリーンアスパラガス<br>株元を除いたもの<br>06007アスパラガス生から推計			
06327	(0)	(0.8)	(1.2)	-	(0.2)	(0)	(0)	-	(2.3)	-	-	試料： グリーンアスパラガス<br>株元を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06007アスパラガス生から推計			
06009	(0)	(0.8)	(1.2)	-	(0.2)	(0)	(0)	-	(2.3)	-	-	試料： ホワイトアスパラガス<br>液汁を除いたもの<br>06007アスパラガス生から推計			
06010	0.4	0.5	0.9	-	0.3	Tr	(0)	-	2.2	-	-	別名： さいとう（菜豆）、さんどまめ<br>廃棄部位： すじ及び両端			
06011	(0.4)	(0.5)	(1.0)	-	(0.3)	(Tr)	(0)	-	(2.3)	-	-	別名： さいとう（菜豆）、さんどまめ<br>すじ及び両端を除いたもの<br>06010さやいんげん生から推計			
06363	Tr	0.6	0.4	-	0.1	0	-	-	1.1	-	-	別名： ウリッパ、アマナ、ギンボ等<br>廃棄部位： 株元			
06015	2.9	0.1	Tr	Tr	1.3	Tr	0	-	4.3	-	-	廃棄部位： さや			
06016	(2.8)	(0.1)	(Tr)	(Tr)	(1.3)	(Tr)	(0)	-	(4.3)	-	-	廃棄部位： さや<br>06015えだまめ生から推計			
06017	2.2	0.1	0.1	-	1.5	1.0	(0)	-	4.9	-	-	廃棄部位： さや			
06020	0.7	2.4	0.1	-	0.8	0	(0)	-	4.1	-	-	別名： きぬさやえんどう<br>廃棄部位： すじ及び両端			
06021	(0.7)	(2.3)	(0.1)	-	(0.8)	(0)	(0)	-	(3.9)	-	-	別名： きぬさやえんどう<br>すじ及び両端を除いたもの<br>06020さやえんどう生から推計			
06022	(1.2)	(2.1)	(1.9)	(0)	(0.5)	(0)	(0)	(0)	(5.7)	-	-	別名： スナックえんどう<br>廃棄部位： すじ及び両端<br>米国成分表から推計			
06023	9.1	0	0	-	2.7	0	(0)	-	11.8	-	-	別名： みえんどう<br>さやを除いたもの			
06024	(10.8)	(0)	(0)	-	(3.1)	(0)	(0)	-	(13.9)	-	-	別名： みえんどう<br>さやを除いたもの<br>06023グリンピース生から推計			
06025	6.9	0	0	-	3.6	0	(0)	-	10.5	-	-	別名： みえんどう			
06374	7.7	0	0	-	3.0	0	(0)	-	10.7	-	-	別名： みえんどう			
06375	7.3	0	0	-	3.7	0	(0)	-	10.9	-	-	別名： みえんどう			
06026	(7.1)	(0)	(0)	-	(3.8)	(0)	(0)	-	(10.9)	-	-	別名： みえんどう<br>液汁を除いたもの<br>06025グリンピース冷凍から推計			
06032	0	0.6	0.6	-	0.7	0	(0)	-	1.9	-	-	廃棄部位： へた			
06033	(0)	(0.7)	(0.7)	-	(0.7)	(Tr)	(0)	-	(2.1)	-	-	廃棄部位： へた<br>06032オクラ生から推計			
06036	Tr	1.6	1.4	-	0	-	(0)	-	3.0	-	-	別名： かぶら、すずな<br>廃棄部位： 根端及び葉柄基部			
06037	(Tr)	(1.7)	(1.4)	-	(0)	-	(0)	-	(3.1)	-	-	別名： かぶら、すずな<br>根端及び葉柄基部を除いたもの<br>06036かぶ根皮つき生から推計			
06038	0	1.8	1.6	-	0.1	Tr	(0)	-	3.5	-	-	別名： かぶら、すずな<br>廃棄部位： 根端、葉柄基部及び皮 			
06039	(0)	(1.9)	(1.6)	-	(0.1)	(Tr)	(0)	-	(3.6)	-	-	別名： かぶら、すずな<br>根端、葉柄基部及び皮を除いたもの<br>06038かぶ根皮むき生から推計			
06046	3.1	1.4	1.4	-	1.9	0	(0)	-	7.8	-	-	別名： とうなす、ぼうぶら、なんきん<br>廃棄部位： わた、種子及び両端			
06047	(3.8)	(1.7)	(1.7)	-	(2.2)	(0)	(0)	-	(9.4)	-	-	別名： とうなす、ぼうぶら、なんきん<br>わた､種子及び両端を除いたもの<br>06046日本かぼちゃ生から推計			
06048	8.6	1.2	0.9	-	5.2	0	(0)	-	15.9	-	-	別名： くりかぼちゃ<br>廃棄部位： わた、種子及び両端<br>乳糖は豪州成分表から推計			
06049	(8.8)	(1.3)	(0.9)	-	(5.3)	(0)	(0)	-	(16.2)	-	-	別名： くりかぼちゃ<br>わた、種子及び両端を除いたもの <br>06048西洋かぼちゃ生から推計。乳糖は豪州成分表から推計			
06332	(11.5)	(1.7)	(1.2)	-	(6.9)	(0)	(0)	-	(21.3)	-	-	別名： くりかぼちゃ<br>わた、種子及び両端を除いたもの<br>06048西洋かぼちゃ生から推計。乳糖は豪州成分表から推計			
06050	(7.9)	(1.1)	(0.8)	-	(4.8)	(0)	(0)	-	(14.6)	-	-	別名： くりかぼちゃ<br>06048西洋かぼちゃ生から推計			
06054	0.3	1.3	1.1	-	0.5	0	(0)	-	3.2	-	-	別名： はなやさい<br>廃棄部位： 茎葉			
06055	(0.3)	(1.2)	(1.0)	-	(0.5)	(0)	(0)	-	(2.9)	-	-	別名： はなやさい<br>茎葉を除いたもの<br>06054カリフラワー生から推計			
06056	0.7	16.3	16.2	-	0	Tr	(0)	-	33.2	-	-				
06057	(0.1)	(1.7)	(1.7)	-	(0)	(0)	(0)	-	(3.5)	-	-	06056かんぴょう乾から推計			
06364	0.2	1.3	0.8	0.1	22.6	0.5	0	-	25.5	-	-				
06061	Tr	1.9	1.8	-	0.3	0	(0)	-	3.9	-	-	別名： かんらん、たまな<br>廃棄部位： しん			
06062	0	1.1	0.8	-	0.1	0	(0)	-	1.9	-	-	別名： かんらん、たまな<br>しんを除いたもの			
06333	(0)	(1.5)	(1.1)	-	(0.1)	(Tr)	(0)	-	(2.7)	-	-	別名： かんらん、たまな<br>しんを除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06062キャベツゆでから推計			
06403	0.1	1.5	1.5	-	0.1	-	-	-	3.1	-	-	別名： かんらん、たまな			
06404	0.1	1.6	1.8	-	0.3	-	-	-	3.8	-	-	別名： かんらん、たまな			
06063	(0.1)	(1.7)	(1.3)	-	(0.1)	(0)	(0)	-	(3.2)	-	-	廃棄部位： しん<br>06061キャベツ生から推計			
